freq,B,C,D-1,D-2
1065.478,97.3455,99.7677,99.7137,99.5497
1066.442,97.2991,99.6654,99.5526,99.3774
1067.406,97.2429,99.5542,99.3618,99.1731
1068.371,97.1758,99.4439,99.1477,98.9442
1069.335,97.0983,99.3456,98.9247,98.7072
1070.299,97.0114,99.2697,98.7151,98.4869
1071.263,96.915,99.2234,98.5467,98.3139
1072.228,96.8073,99.2095,98.4477,98.2188
1073.192,96.6844,99.2265,98.44,98.2242
1074.156,96.5412,99.2691,98.533,98.3389
1075.12,96.3714,99.3299,98.72,98.5536
1076.085,96.1685,99.4007,98.9785,98.8427
1077.049,95.9235,99.4741,99.2755,99.1692
1078.013,95.6243,99.5437,99.5745,99.4935
1078.977,95.2545,99.6053,99.8439,99.7814
1079.942,94.7949,99.6562,100.063,100.0114
1080.906,94.2282,99.696,100.2242,100.1766
1081.87,93.5468,99.7257,100.3319,100.2825
1082.834,92.7609,99.7474,100.3973,100.3424
1083.798,91.9066,99.7629,100.4339,100.3716
1084.763,91.0473,99.7739,100.4528,100.3822
1085.727,90.2693,99.781,100.4611,100.3821
1086.691,89.6688,99.7842,100.4618,100.3747
1087.655,89.334,99.7831,100.4564,100.361
1088.62,89.3257,99.7777,100.4454,100.3416
1089.584,89.6627,99.7685,100.4298,100.3173
1090.548,90.3161,99.7564,100.4101,100.2888
1091.512,91.2147,99.7421,100.3856,100.2556
1092.477,92.259,99.7258,100.354,100.2154
1093.441,93.341,99.707,100.312,100.1651
1094.405,94.3636,99.6843,100.2564,100.1017
1095.369,95.2561,99.656,100.1869,100.0251
1096.333,95.9806,99.6207,100.107,99.9395
1097.298,96.5315,99.5776,100.0246,99.853
1098.262,96.9263,99.5268,99.9499,99.7767
1099.226,97.1942,99.4691,99.8935,99.7216
1100.19,97.3656,99.4054,99.8635,99.6958
1101.155,97.4656,99.3365,99.8635,99.7025
1102.119,97.5119,99.2625,99.892,99.7394
1103.083,97.518,99.1826,99.9434,99.7993
1104.047,97.4957,99.0944,100.0089,99.8724
1105.012,97.4585,98.9937,100.0794,99.9485
1105.976,97.4206,98.8758,100.1463,100.0185
1106.94,97.395,98.736,100.2031,100.0763
1107.904,97.3898,98.5722,100.2459,100.1181
1108.869,97.4062,98.3873,100.2731,100.1431
1109.833,97.4379,98.1905,100.2849,100.1517
1110.797,97.4743,97.9984,100.2827,100.1458
1111.761,97.5037,97.832,100.2687,100.1274
1112.725,97.5177,97.7137,100.2449,100.0984
