freq,B2-1,B2-2,C
1015.338,95.9178,96.9751,100.2811
1016.302,96.1493,97.1327,100.2676
1017.266,96.3243,97.2518,100.2607
1018.231,96.4707,97.352,100.2592
1019.195,96.6217,97.4566,100.2608
1020.159,96.8051,97.5849,100.2634
1021.123,97.0347,97.7465,100.266
1022.088,97.3073,97.9392,100.2686
1023.052,97.6053,98.1504,100.2718
1024.016,97.9036,98.3626,100.2758
1024.98,98.1778,98.5582,100.2802
1025.944,98.4112,98.7254,100.2841
1026.909,98.5982,98.8598,100.2867
1027.873,98.7431,98.9642,100.2877
1028.837,98.8566,99.0459,100.2879
1029.801,98.9509,99.1134,100.2882
1030.766,99.0359,99.1738,100.2896
1031.73,99.1174,99.2312,100.2916
1032.694,99.1974,99.2873,100.2931
1033.658,99.2757,99.342,100.2925
1034.623,99.3512,99.3948,100.2884
1035.587,99.423,99.4449,100.281
1036.551,99.4901,99.492,100.2717
1037.515,99.5515,99.5354,100.2624
1038.479,99.6057,99.5739,100.255
1039.444,99.6508,99.6064,100.2501
1040.408,99.6847,99.6314,100.2468
1041.372,99.706,99.6477,100.2435
1042.336,99.7141,99.6547,100.2389
1043.301,99.7086,99.6522,100.2325
1044.265,99.6894,99.6402,100.2251
1045.229,99.6561,99.6186,100.2184
1046.193,99.6075,99.5866,100.2135
1047.158,99.542,99.5433,100.2107
1048.122,99.4577,99.487,100.209
1049.086,99.3516,99.4156,100.2066
1050.05,99.2199,99.3258,100.2021
1051.015,99.0566,99.2135,100.1948
1051.979,98.8537,99.0726,100.1857
1052.943,98.6002,98.8957,100.1762
1053.907,98.2837,98.6742,100.1675
1054.871,97.8912,98.3991,100.1598
1055.836,97.4113,98.0626,100.152
1056.8,96.8368,97.6598,100.1421
1057.764,96.1672,97.1903,100.1284
1058.728,95.4125,96.6615,100.1098
1059.693,94.5956,96.0897,100.0863
1060.657,93.7552,95.5029,100.0576
1061.621,92.9457,94.9398,100.0231
1062.585,92.2343,94.4482,99.9801
1063.55,91.6936,94.0789,99.9253
1064.514,91.3899,93.878,99.855
1065.478,91.3708,93.8776,99.7677
1066.442,91.654,94.0885,99.6654
1067.406,92.2221,94.4971,99.5542
1068.371,93.0243,95.0662,99.4439
1069.335,93.9853,95.7424,99.3456
1070.299,95.0176,96.4644,99.2697
1071.263,96.0369,97.1736,99.2234
1072.228,96.9739,97.8226,99.2095
1073.192,97.7824,98.3803,99.2265
1074.156,98.4422,98.8337,99.2691
1075.12,98.9549,99.1848,99.3299
1076.085,99.3377,99.4461,99.4007
1077.049,99.6154,99.6353,99.4741
1078.013,99.8136,99.7703,99.5437
1078.977,99.955,99.867,99.6053
1079.942,100.0574,99.9376,99.6562
1080.906,100.134,99.9912,99.696
1081.87,100.1938,100.0339,99.7257
1082.834,100.2426,100.0696,99.7474
1083.798,100.284,100.1007,99.7629
1084.763,100.3198,100.1284,99.7739
1085.727,100.3508,100.153,99.781
1086.691,100.3775,100.1748,99.7842
1087.655,100.4006,100.1939,99.7831
1088.62,100.4207,100.2109,99.7777
1089.584,100.4386,100.2262,99.7685
1090.548,100.4548,100.24,99.7564
1091.512,100.4691,100.2523,99.7421
1092.477,100.4806,100.2625,99.7258
1093.441,100.4886,100.2701,99.707
1094.405,100.4925,100.2747,99.6843
1095.369,100.4926,100.2766,99.656
1096.333,100.4899,100.2765,99.6207
1097.298,100.4854,100.275,99.5776
1098.262,100.4798,100.2727,99.5268
1099.226,100.4733,100.2698,99.4691
1100.19,100.4652,100.2657,99.4054
1101.155,100.4546,100.2598,99.3365
1102.119,100.4406,100.2516,99.2625
1103.083,100.4231,100.2408,99.1826
1104.047,100.4017,100.2271,99.0944
1105.012,100.3754,100.2099,98.9937
1105.976,100.3423,100.1879,98.8758
1106.94,100.2992,100.1591,98.736
1107.904,100.2431,100.1215,98.5722
1108.869,100.1723,100.074,98.3873
1109.833,100.0882,100.0176,98.1905
1110.797,99.9964,99.9561,97.9984
1111.761,99.9062,99.8959,97.832
1112.725,99.8292,99.8446,97.7137
1113.69,99.7761,99.8097,97.6621
1114.654,99.7545,99.7961,97.6874
1115.618,99.7664,99.8052,97.7891
1116.582,99.8076,99.8342,97.9563
1117.547,99.869,99.8771,98.1698
1118.511,99.9386,99.9255,98.4069
1119.475,100.0039,99.971,98.646
1120.439,100.055,100.0068,98.8699
1121.404,100.0855,100.0284,99.0674
1122.368,100.0933,100.0344,99.2335
1123.332,100.0798,100.0257,99.3671
1124.296,100.0487,100.005,99.4696
1125.26,100.0049,99.9756,99.5436
1126.225,99.953,99.9407,99.592
1127.189,99.8965,99.9029,99.6182
1128.153,99.8376,99.8637,99.626
1129.117,99.7776,99.8241,99.6195
1130.082,99.7168,99.7843,99.6025
1131.046,99.6552,99.7442,99.5779
1132.01,99.5928,99.7038,99.5467
1132.974,99.5294,99.6629,99.5075
1133.939,99.4646,99.6211,99.4555
1134.903,99.3976,99.5777,99.3824
1135.867,99.3267,99.5316,99.2768
1136.831,99.2492,99.4809,99.1266
1137.796,99.162,99.4234,98.9221
1138.76,99.0611,99.3565,98.6611
1139.724,98.9427,99.2777,98.3536
1140.688,98.8032,99.1845,98.0249
1141.652,98.6392,99.0746,97.7135
1142.617,98.4474,98.9458,97.4658
1143.581,98.2254,98.7965,97.3255
1144.545,97.971,98.6252,97.3224
1145.509,97.6835,98.4315,97.4636
1146.474,97.3639,98.2159,97.7306
1147.438,97.0152,97.9805,98.0822
1148.402,96.6424,97.7288,98.4648
1149.366,96.2515,97.4649,98.8251
1150.331,95.8488,97.1933,99.1227
1151.295,95.44,96.9179,99.3369
1152.259,95.0299,96.6423,99.4683
1153.223,94.6235,96.3701,99.5334
1154.188,94.2271,96.1057,99.5565
1155.152,93.8499,95.8555,99.5611
1156.116,93.5046,95.6284,99.5642
1157.08,93.2076,95.4354,99.5751
1158.044,92.9769,95.2887,99.5966
1159.009,92.8302,95.2003,99.6276
1159.973,92.7822,95.1793,99.6658
1160.937,92.8416,95.2316,99.7088
1161.901,93.0103,95.3574,99.7536
1162.866,93.2817,95.5516,99.7964
1163.83,93.6416,95.8038,99.8326
1164.794,94.0691,96.0994,99.8578
1165.758,94.5396,96.4215,99.8691
1166.723,95.0279,96.753,99.8661
1167.687,95.511,97.0786,99.8512
1168.651,95.9706,97.3867,99.8282
1169.615,96.3945,97.6695,99.8006
1170.579,96.7762,97.9231,99.7703
1171.544,97.1141,98.1467,99.7373
1172.508,97.4101,98.3421,99.7013
1173.472,97.668,98.5117,99.6628
1174.436,97.8922,98.6588,99.6243
1175.401,98.0873,98.7865,99.5904
1176.365,98.2573,98.8975,99.5664
1177.329,98.4055,98.9942,99.5559
1178.293,98.5346,99.0783,99.5599
1179.258,98.6461,99.1509,99.5759
1180.222,98.7405,99.2122,99.5989
1181.186,98.8171,99.2617,99.6237
1182.15,98.8748,99.2987,99.6466
1183.115,98.913,99.3226,99.6662
1184.079,98.9327,99.3344,99.683
1185.043,98.9384,99.3369,99.6979
1186.007,98.9351,99.3337,99.7109
1186.971,98.9308,99.3302,99.7206
1187.936,98.9341,99.332,99.725
1188.9,98.9522,99.3438,99.7226
1189.864,98.9888,99.3682,99.7132
1190.828,99.0434,99.4045,99.6989
1191.793,99.1109,99.4495,99.6829
1192.757,99.1831,99.4975,99.6685
1193.721,99.2509,99.5424,99.6579
1194.685,99.3063,99.5788,99.6515
1195.65,99.3441,99.6034,99.6487
1196.614,99.3628,99.6152,99.6486
1197.578,99.3638,99.615,99.6508
1198.542,99.35,99.6051,99.6556
1199.506,99.3245,99.5876,99.6637
1200.471,99.2894,99.5638,99.6747
1201.435,99.2448,99.534,99.6873
1202.399,99.1901,99.4977,99.6985
1203.363,99.1248,99.4547,99.7055
1204.328,99.0504,99.4058,99.7065
1205.292,98.9716,99.3542,99.7017
1206.256,98.8966,99.3051,99.6934
1207.22,98.8365,99.2659,99.6847
1208.185,98.8029,99.2443,99.6782
1209.149,98.8055,99.2466,99.6751
1210.113,98.849,99.2758,99.6746
1211.077,98.9313,99.3303,99.6746
1212.042,99.0431,99.404,99.6734
1213.006,99.17,99.4871,99.6706
1213.97,99.2954,99.5688,99.6672
1214.934,99.4045,99.6394,99.6648
1215.898,99.4879,99.6927,99.6649
1216.863,99.5426,99.727,99.6674
1217.827,99.5714,99.7442,99.6709
1218.791,99.5812,99.749,99.6733
1219.755,99.5793,99.7463,99.6728
1220.72,99.5715,99.7398,99.6691
1221.684,99.5603,99.7313,99.6636
1222.648,99.546,99.7207,99.6583
1223.612,99.5272,99.7075,99.6549
1224.577,99.5032,99.6909,99.6535
1225.541,99.4744,99.6713,99.6529
1226.505,99.4424,99.6497,99.6511
1227.469,99.4091,99.627,99.6463
1228.433,99.3753,99.604,99.6384
1229.398,99.3403,99.58,99.6284
1230.362,99.3029,99.5543,99.6186
1231.326,99.2613,99.5259,99.6102
1232.29,99.2156,99.4947,99.6034
1233.255,99.1673,99.4619,99.5971
1234.219,99.1197,99.4297,99.5893
1235.183,99.0763,99.4003,99.5784
1236.147,99.0397,99.3754,99.5643
1237.112,99.0111,99.3557,99.5481
1238.076,98.99,99.341,99.5317
1239.04,98.9755,99.3308,99.5164
1240.004,98.9671,99.3246,99.5022
1240.969,98.9649,99.3226,99.4877
1241.933,98.9696,99.3252,99.4705
1242.897,98.9815,99.3326,99.449
1243.861,98.9996,99.3439,99.4229
1244.825,99.0212,99.3574,99.3931
1245.79,99.0428,99.3708,99.3612
1246.754,99.0613,99.3819,99.3287
1247.718,99.0751,99.3899,99.2955
1248.682,99.0849,99.3952,99.2608
1249.647,99.0927,99.3993,99.223
1250.611,99.1006,99.4035,99.1814
1251.575,99.1093,99.4082,99.1366
1252.539,99.1177,99.4128,99.0909
1253.504,99.1231,99.4153,99.047
1254.468,99.1225,99.4139,99.0068
1255.432,99.1144,99.4076,98.9712
1256.396,99.0989,99.3964,98.9391
1257.36,99.0776,99.3814,98.909
1258.325,99.0521,99.3636,98.8796
1259.289,99.0225,99.343,98.8508
1260.253,98.9867,99.3181,98.8238
1261.217,98.9409,99.2863,98.7999
1262.182,98.8811,99.245,98.7798
1263.146,98.8039,99.192,98.7624
1264.11,98.7067,99.1259,98.7452
1265.074,98.586,99.0442,98.7243
1266.039,98.435,98.9426,98.6963
1267.003,98.2429,98.8139,98.6586
1267.967,97.9966,98.6491,98.6095
1268.931,97.6855,98.4413,98.5479
1269.896,97.3094,98.1905,98.4722
1270.86,96.8854,97.908,98.3806
1271.824,96.4499,97.6186,98.2719
1272.788,96.056,97.3578,98.1461
1273.752,95.7626,97.1649,98.0061
1274.717,95.6205,97.0737,97.8575
1275.681,95.6599,97.1038,97.7082
1276.645,95.8815,97.2555,97.5661
1277.609,96.256,97.5083,97.4377
1278.574,96.7306,97.8267,97.3266
1279.538,97.241,98.1677,97.2328
1280.502,97.7269,98.4907,97.1537
1281.466,98.143,98.766,97.0845
1282.431,98.466,98.9783,97.0191
1283.395,98.6941,99.1269,96.9504
1284.359,98.8411,99.2214,96.8704
1285.323,98.9283,99.2764,96.7717
1286.287,98.9768,99.306,96.65
1287.252,99.003,99.3211,96.5076
1288.216,99.0167,99.3281,96.3565
1289.18,99.0222,99.3298,96.2197
1290.144,99.0209,99.3269,96.1284
1291.109,99.0128,99.3193,96.1151
1292.073,98.9982,99.3072,96.2056
1293.037,98.9777,99.2911,96.41
1294.001,98.9523,99.2718,96.7187
1294.966,98.9229,99.2497,97.1025
1295.93,98.8904,99.2257,97.5191
1296.894,98.8559,99.2003,97.9234
1297.858,98.82,99.1741,98.2774
1298.823,98.7836,99.1475,98.5575
1299.787,98.7473,99.1211,98.7565
1300.751,98.7111,99.0947,98.8804
1301.715,98.6746,99.0682,98.9418
1302.679,98.637,99.0408,98.9543
1303.644,98.5972,99.012,98.9281
1304.608,98.5538,98.9805,98.8699
1305.572,98.5042,98.9447,98.7853
1306.536,98.4452,98.9026,98.6804
1307.501,98.3722,98.851,98.5642
1308.465,98.2805,98.7871,98.4472
1309.429,98.1666,98.7083,98.3395
1310.393,98.0299,98.6143,98.2472
1311.358,97.8743,98.5073,98.1718
1312.322,97.7085,98.3929,98.11
1313.286,97.545,98.2792,98.0568
1314.25,97.3979,98.1756,98.0086
1315.214,97.2795,98.0905,97.9668
1316.179,97.1974,98.0291,97.9378
1317.143,97.1517,97.9919,97.9321
1318.107,97.1351,97.9744,97.9609
1319.071,97.1339,97.9675,98.0314
1320.036,97.1317,97.9601,98.1451
1321,97.1127,97.9415,98.2955
1321.964,97.0651,97.9031,98.4704
1322.928,96.9824,97.8404,98.6539
1323.893,96.8634,97.7522,98.83
