freq,B,4-1,1-1,1-4,C
1146.474,89.3169,89.1007,88.4337,95.2583,97.7306
1147.438,90.1606,90.1615,88.9836,95.7805,98.0822
1148.402,91.0462,91.2274,89.5492,96.3339,98.4648
1149.366,91.9491,92.2539,90.1025,96.8699,98.8251
1150.331,92.8463,93.2071,90.6198,97.351,99.1227
1151.295,93.7154,94.064,91.084,97.7554,99.3369
1152.259,94.5355,94.8122,91.485,98.0781,99.4683
1153.223,95.2887,95.4481,91.8197,98.3267,99.5334
1154.188,95.9611,95.9747,92.0894,98.516,99.5565
1155.152,96.5442,96.3993,92.2985,98.6616,99.5611
1156.116,97.0348,96.7311,92.4524,98.7766,99.5642
1157.08,97.4345,96.9797,92.5568,98.8694,99.5751
1158.044,97.749,97.1531,92.6174,98.9449,99.5966
1159.009,97.9866,97.2581,92.6398,99.0057,99.6276
1159.973,98.1571,97.2998,92.6299,99.0533,99.6658
1160.937,98.271,97.2828,92.593,99.0888,99.7088
1161.901,98.3379,97.2116,92.5342,99.1127,99.7536
1162.866,98.3666,97.0929,92.4586,99.1242,99.7964
1163.83,98.3646,96.9358,92.3714,99.1225,99.8326
1164.794,98.3384,96.7537,92.2785,99.107,99.8578
1165.758,98.2948,96.5638,92.1872,99.0789,99.8691
1166.723,98.2409,96.3865,92.1054,99.042,99.8661
1167.687,98.1849,96.243,92.0411,99.0023,99.8512
1168.651,98.1349,96.1525,92.0004,98.9663,99.8282
1169.615,98.0984,96.129,91.9864,98.9392,99.8006
1170.579,98.08,96.1778,91.9978,98.9234,99.7703
1171.544,98.0805,96.2948,92.0293,98.918,99.7373
1172.508,98.0965,96.4668,92.073,98.9198,99.7013
1173.472,98.1208,96.6738,92.1206,98.9249,99.6628
1174.436,98.1449,96.8936,92.1655,98.9308,99.6243
1175.401,98.161,97.106,92.2043,98.9369,99.5904
1176.365,98.1641,97.296,92.2363,98.9446,99.5664
1177.329,98.1528,97.4556,92.2633,98.9559,99.5559
1178.293,98.1292,97.5831,92.2873,98.9719,99.5599
1179.258,98.0978,97.6814,92.31,98.9921,99.5759
1180.222,98.0639,97.7556,92.3315,99.0148,99.5989
1181.186,98.0321,97.8111,92.351,99.0375,99.6237
1182.15,98.0056,97.8525,92.3674,99.0586,99.6466
1183.115,97.9856,97.8834,92.3799,99.0772,99.6662
1184.079,97.9723,97.9066,92.3881,99.0936,99.683
1185.043,97.9644,97.9249,92.3924,99.1083,99.6979
1186.007,97.9602,97.9406,92.3928,99.1209,99.7109
1186.971,97.9575,97.9559,92.3893,99.13,99.7206
1187.936,97.9547,97.972,92.3813,99.1338,99.725
1188.9,97.9506,97.9895,92.369,99.1313,99.7226
1189.864,97.9453,98.0082,92.3524,99.1228,99.7132
1190.828,97.9398,98.0275,92.333,99.1101,99.6989
1191.793,97.9358,98.0463,92.3122,99.0963,99.6829
1192.757,97.9346,98.0638,92.2914,99.084,99.6685
1193.721,97.9364,98.0789,92.2712,99.0748,99.6579
1194.685,97.9393,98.0899,92.2507,99.0687,99.6515
1195.65,97.9397,98.0949,92.2282,99.0644,99.6487
1196.614,97.9323,98.0915,92.2013,99.0601,99.6486
1197.578,97.9116,98.0772,92.168,99.0545,99.6508
1198.542,97.8722,98.0499,92.127,99.0469,99.6556
1199.506,97.8099,98.0075,92.0775,99.0367,99.6637
1200.471,97.7214,97.948,92.0193,99.0233,99.6747
1201.435,97.6042,97.8693,91.9523,99.0048,99.6873
1202.399,97.4578,97.7684,91.8765,98.9789,99.6985
1203.363,97.2843,97.6427,91.7926,98.9435,99.7055
1204.328,97.0901,97.4907,91.7032,98.8981,99.7065
1205.292,96.8874,97.3138,91.6125,98.8446,99.7017
1206.256,96.6939,97.1177,91.5274,98.7878,99.6934
1207.22,96.5311,96.9134,91.4556,98.7338,99.6847
1208.185,96.4205,96.7162,91.4048,98.689,99.6782
1209.149,96.3789,96.544,91.3802,98.6581,99.6751
1210.113,96.4139,96.4142,91.3836,98.6433,99.6746
1211.077,96.5218,96.3402,91.4129,98.6441,99.6746
1212.042,96.6879,96.3291,91.4625,98.6581,99.6734
1213.006,96.8901,96.3807,91.5253,98.6824,99.6706
1213.97,97.104,96.4875,91.5939,98.7138,99.6672
1214.934,97.3079,96.6372,91.6617,98.7497,99.6648
1215.898,97.4863,96.8142,91.7238,98.7873,99.6649
1216.863,97.6314,97.003,91.7768,98.8242,99.6674
1217.827,97.7414,97.1892,91.8183,98.8572,99.6709
1218.791,97.819,97.3613,91.8469,98.884,99.6733
1219.755,97.8687,97.5116,91.8621,98.9028,99.6728
1220.72,97.8955,97.6357,91.8646,98.9136,99.6691
1221.684,97.9045,97.7331,91.8562,98.9177,99.6636
1222.648,97.9006,97.8059,91.8394,98.9173,99.6583
1223.612,97.8885,97.8578,91.8171,98.9145,99.6549
1224.577,97.8725,97.8934,91.7913,98.9104,99.6535
1225.541,97.8557,97.9164,91.7634,98.9048,99.6529
1226.505,97.8397,97.9296,91.7334,98.8968,99.6511
1227.469,97.8243,97.9346,91.7006,98.8858,99.6463
1228.433,97.8083,97.9319,91.6646,98.8717,99.6384
1229.398,97.79,97.9219,91.6252,98.8555,99.6284
1230.362,97.7682,97.9052,91.5828,98.8388,99.6186
1231.326,97.7429,97.8825,91.5383,98.8229,99.6102
1232.29,97.7145,97.8546,91.4921,98.8078,99.6034
1233.255,97.6832,97.8222,91.444,98.7927,99.5971
1234.219,97.6485,97.7852,91.3931,98.7757,99.5893
1235.183,97.6086,97.7428,91.3384,98.7552,99.5784
1236.147,97.5616,97.6943,91.2789,98.7307,99.5643
1237.112,97.5054,97.6388,91.2144,98.7026,99.5481
1238.076,97.4391,97.5763,91.1455,98.6719,99.5317
1239.04,97.3631,97.5073,91.0732,98.6398,99.5164
1240.004,97.2781,97.4325,90.9981,98.6064,99.5022
1240.969,97.1851,97.3527,90.9205,98.5707,99.4877
1241.933,97.084,97.2684,90.84,98.531,99.4705
1242.897,96.9739,97.1793,90.7559,98.4857,99.449
1243.861,96.8539,97.0856,90.668,98.4346,99.4229
1244.825,96.7242,96.9878,90.5772,98.3781,99.3931
1245.79,96.5871,96.8875,90.4851,98.3183,99.3612
1246.754,96.4475,96.7875,90.3941,98.257,99.3287
1247.718,96.3117,96.691,90.3064,98.1957,99.2955
1248.682,96.1865,96.6017,90.2236,98.1352,99.2608
1249.647,96.0771,96.5222,90.1459,98.0756,99.223
1250.611,95.9862,96.4541,90.0728,98.0171,99.1814
1251.575,95.914,96.3971,90.0033,97.9605,99.1366
1252.539,95.8582,96.3496,89.9359,97.9068,99.0909
1253.504,95.8152,96.3085,89.8692,97.8575,99.047
